sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:original_source_concept_id,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1667,Propylthiouracil,-1,,1667,1.00,APPROVED,EQUAL,jaye,1758627236905,1554072,propylthiouracil,Drug,MAPS_TO,,<auto>,1758626703525,
1574,Ketorolac,-1,,1574,1.00,APPROVED,EQUAL,jaye,1758627236905,1136980,ketorolac,Drug,MAPS_TO,,<auto>,1758626703606,
269,Method of payment,-1,,269,0.68,UNCHECKED,UNREVIEWED,,0,31996,Copayment,Cost,MAPS_TO,,<auto>,1758626703698,
1313,Fluconazole,-1,,1313,1.00,APPROVED,EQUAL,jaye,1758627236905,1754994,fluconazole,Drug,MAPS_TO,,<auto>,1758626703830,
270,Euro,-1,,270,1.00,APPROVED,EQUAL,jaye,1758627236905,44818568,Euro,Currency,MAPS_TO,,<auto>,1758626703922,
506,Reference application common environmental allergens,-1,,506,0.64,UNCHECKED,UNREVIEWED,,0,4144450,Environmental allergy,Observation,MAPS_TO,,<auto>,1758626704190,
1314,Fluoxetine,-1,,1314,1.00,APPROVED,EQUAL,jaye,1758627236905,755695,fluoxetine,Drug,MAPS_TO,,<auto>,1758626704303,
1439,Atovaquone & Proquanil,-1,,1439,0.68,UNCHECKED,UNREVIEWED,,0,1781733,atovaquone,Drug,MAPS_TO,,<auto>,1758626704362,
1521,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide",-1,,1521,0.57,UNCHECKED,UNREVIEWED,,0,40050296,isoniazid / pyrazinamide / rifampin Oral Tablet,Drug,MAPS_TO,,<auto>,1758626704394,
911,Some (qualifier value),-1,,911,1.00,APPROVED,EQUAL,jaye,1758627236905,4100632,Some,Meas Value,MAPS_TO,,<auto>,1758626704455,
1575,Sodium hyaluronate,-1,,1575,0.84,UNCHECKED,UNREVIEWED,,0,40237932,sodium hyaluronate 1 MG/ML,Drug,MAPS_TO,,<auto>,1758626704479,
652,Inpatient stay (finding),-1,,652,1.00,APPROVED,EQUAL,jaye,1758627236905,4205408,Inpatient stay,Observation,MAPS_TO,,<auto>,1758626704611,
1668,Protamine sulfate,-1,,1668,0.91,UNCHECKED,UNREVIEWED,,0,4215958,"Fibrin split products, protamine sulfate assay",Measurement,MAPS_TO,,<auto>,1758626704635,
1159,Review of systems (procedure),-1,,1159,1.00,APPROVED,EQUAL,jaye,1758627236905,4187458,Review of systems,Procedure,MAPS_TO,,<auto>,1758626704672,
271,Ugandan shilling,-1,,271,1.00,APPROVED,EQUAL,jaye,1758627236905,44818667,Ugandan shilling,Currency,MAPS_TO,,<auto>,1758626704755,
1576,Timolol,-1,,1576,1.00,APPROVED,EQUAL,jaye,1758627236905,45882938,Timolol,Meas Value,MAPS_TO,,<auto>,1758626704935,
1315,Folic Acid,-1,,1315,1.00,APPROVED,EQUAL,jaye,1758627236905,19111620,folic acid,Drug,MAPS_TO,,<auto>,1758626704940,
1669,Sildenafil,-1,,1669,1.00,APPROVED,EQUAL,jaye,1758627236905,1316262,sildenafil,Drug,MAPS_TO,,<auto>,1758626705083,
1316,Frusemide,-1,,1316,0.74,UNCHECKED,UNREVIEWED,,0,4022978,Furosemide measurement,Measurement,MAPS_TO,,<auto>,1758626705312,
272,Tanzanian shilling,-1,,272,1.00,APPROVED,EQUAL,jaye,1758627236905,44818665,Tanzanian shilling,Currency,MAPS_TO,,<auto>,1758626705605,
1578,Sodium chloride,-1,,1578,1.00,APPROVED,EQUAL,jaye,1758627236905,967823,sodium chloride,Drug,MAPS_TO,,<auto>,1758626705625,
326,Medical or surgical floor (environment),-1,,326,0.60,UNCHECKED,UNREVIEWED,,0,4174431,Environmental event,Observation,MAPS_TO,,<auto>,1758626705720,
1670,Streptokinase,-1,,1670,1.00,APPROVED,EQUAL,jaye,1758627236905,19136187,streptokinase,Drug,MAPS_TO,,<auto>,1758626705725,
1440,Fluticasone & Salmeterol,-1,,1440,0.49,UNCHECKED,UNREVIEWED,,0,40144024,fluticasone / salmeterol Metered Dose Inhaler,Drug,MAPS_TO,,<auto>,1758626706003,
1523,Albendazole and Vitamin A Set,-1,,1523,0.73,UNCHECKED,UNREVIEWED,,0,1753745,albendazole,Drug,MAPS_TO,,<auto>,1758626706009,
1671,Tamoxifen,-1,,1671,1.00,APPROVED,EQUAL,jaye,1758627236905,45883505,Tamoxifen,Meas Value,MAPS_TO,,<auto>,1758626706108,
1317,Frusemide & Amiloride,-1,,1317,0.49,UNCHECKED,UNREVIEWED,,0,45884287,E & S,Meas Value,MAPS_TO,,<auto>,1758626706156,
1160,Review of systems (procedure),-1,,1160,1.00,APPROVED,EQUAL,jaye,1758627236905,4187458,Review of systems,Procedure,MAPS_TO,,<auto>,1758626706367,
273,Nigerian naira,-1,,273,1.00,APPROVED,EQUAL,jaye,1758627236905,44818625,Nigerian naira,Currency,MAPS_TO,,<auto>,1758626706478,
653,Drug not available - out of stock (finding),-1,,653,1.00,APPROVED,EQUAL,jaye,1758627236905,4056959,Drug not available - out of stock,Observation,MAPS_TO,,<auto>,1758626706571,
1672,Tobramycin,-1,,1672,1.00,APPROVED,EQUAL,jaye,1758627236905,902722,tobramycin,Drug,MAPS_TO,,<auto>,1758626706598,
1318,Furosemide,-1,,1318,1.00,APPROVED,EQUAL,jaye,1758627236905,956874,furosemide,Drug,MAPS_TO,,<auto>,1758626706672,
912,Inhaling and exhaling (observable entity),-1,,912,1.00,APPROVED,EQUAL,jaye,1758627236905,4123008,Inhaling and exhaling,Observation,MAPS_TO,,<auto>,1758626706724,
274,Kenyan shilling,-1,,274,1.00,APPROVED,EQUAL,jaye,1758627236905,44818593,Kenyan shilling,Currency,MAPS_TO,,<auto>,1758626707442,
1579,Brimonidine tartrate,-1,,1579,0.79,UNCHECKED,UNREVIEWED,,0,40164129,brimonidine tartrate 1 MG/ML,Drug,MAPS_TO,,<auto>,1758626707479,
1673,Tocopherol,-1,,1673,1.00,APPROVED,EQUAL,jaye,1758627236905,42709318,tocopherol,Drug,MAPS_TO,,<auto>,1758626707637,
1736,Umbilical cord complication during labor and delivery (disorder),-1,,1736,1.00,APPROVED,EQUAL,jaye,1758627236905,42538185,Umbilical cord complication during labor and delivery,Condition,MAPS_TO,,<auto>,1758626707773,
507,Reference application common food allergens,-1,,507,0.43,UNCHECKED,UNREVIEWED,,0,601581,Assistance with application for food pantry program,Observation,MAPS_TO,,<auto>,1758626707881,
1441,Budesonide & Formoterol,-1,,1441,0.56,UNCHECKED,UNREVIEWED,,0,939259,budesonide,Drug,MAPS_TO,,<auto>,1758626707923,
1538,Multivitamin & Lysine,-1,,1538,0.40,UNCHECKED,UNREVIEWED,,0,763334,Multivitamin multimineral supplement,Device,MAPS_TO,,<auto>,1758626707928,
327,Radiology department (environment),-1,,327,0.62,UNCHECKED,UNREVIEWED,,0,4174431,Environmental event,Observation,MAPS_TO,,<auto>,1758626707994,
1580,Betaxolol,-1,,1580,1.00,APPROVED,EQUAL,jaye,1758627236905,1322081,betaxolol,Drug,MAPS_TO,,<auto>,1758626708023,
1161,Review of systems (procedure),-1,,1161,1.00,APPROVED,EQUAL,jaye,1758627236905,4187458,Review of systems,Procedure,MAPS_TO,,<auto>,1758626708172,
275,Ethiopian birr,-1,,275,1.00,APPROVED,EQUAL,jaye,1758627236905,44818567,Ethiopian birr,Currency,MAPS_TO,,<auto>,1758626708257,
1674,Vasopressin,-1,,1674,0.78,UNCHECKED,UNREVIEWED,,0,438476,Vasopressin resistance,Condition,MAPS_TO,,<auto>,1758626708343,
1319,Furosemide & Spironolactone,-1,,1319,0.63,UNCHECKED,UNREVIEWED,,0,40039681,furosemide / spironolactone Oral Tablet,Drug,MAPS_TO,,<auto>,1758626708450,
1443,Tiotropium,-1,,1443,1.00,APPROVED,EQUAL,jaye,1758627236905,1106776,tiotropium,Drug,MAPS_TO,,<auto>,1758626708470,
657,Intolerance to drug (finding),-1,,657,1.00,APPROVED,EQUAL,jaye,1758627236905,4240582,Intolerance to drug,Observation,MAPS_TO,,<auto>,1758626708703,
1737,Twin pregnancy (finding),-1,,1737,1.00,APPROVED,EQUAL,jaye,1758627236905,441919,Twin pregnancy,Condition,MAPS_TO,,<auto>,1758626708843,
1444,Budesonide,-1,,1444,1.00,APPROVED,EQUAL,jaye,1758627236905,939259,budesonide,Drug,MAPS_TO,,<auto>,1758626708872,
1320,Fusidic Acid,-1,,1320,0.74,UNCHECKED,UNREVIEWED,,0,4161102,Fusidic acid poisoning,Condition,MAPS_TO,,<auto>,1758626708952,
914,Structure of eye proper (body structure),-1,,914,1.00,APPROVED,EQUAL,jaye,1758627236905,4305329,Eye structure,Spec Anatomic Site,MAPS_TO,,<auto>,1758626709116,
1581,Brimonidine & timolol,-1,,1581,0.58,UNCHECKED,UNREVIEWED,,0,40771497,Collection date and time of Specimen,Observation,MAPS_TO,,<auto>,1758626709129,
276,Billable service,-1,,276,0.58,UNCHECKED,UNREVIEWED,,0,4149155,"Ear, nose and throat service",Observation,MAPS_TO,,<auto>,1758626709134,
1562,Insulin (Fast & Long Acting),-1,,1562,0.36,UNCHECKED,UNREVIEWED,,0,4091439,Insulinoma prolonged fasting test,Measurement,MAPS_TO,,<auto>,1758626709299,
1675,Vitamins A and D,-1,,1675,0.57,UNCHECKED,UNREVIEWED,,0,19009405,vitamin D,Drug,MAPS_TO,,<auto>,1758626709310,
1445,Albuterol,-1,,1445,1.00,APPROVED,EQUAL,jaye,1758627236905,1154343,albuterol,Drug,MAPS_TO,,<auto>,1758626709370,
1321,Gabapentin,-1,,1321,1.00,APPROVED,EQUAL,jaye,1758627236905,797399,gabapentin,Drug,MAPS_TO,,<auto>,1758626709482,
328,Unit of currency (qualifier value),-1,,328,0.80,UNCHECKED,UNREVIEWED,,0,4034855,Current,Observation,MAPS_TO,,<auto>,1758626709488,
1162,Review of systems (procedure),-1,,1162,1.00,APPROVED,EQUAL,jaye,1758627236905,4187458,Review of systems,Procedure,MAPS_TO,,<auto>,1758626709687,
277,Equitel Pay,-1,,277,0.53,UNCHECKED,UNREVIEWED,,0,42023911,El Payo,Geography,MAPS_TO,,<auto>,1758626709701,
1676,Voltaren,-1,,1676,0.73,UNCHECKED,UNREVIEWED,,0,9677,volt,Unit,MAPS_TO,,<auto>,1758626709771,
658,Drugs not issued (finding),-1,,658,1.00,APPROVED,EQUAL,jaye,1758627236905,4080987,Drugs not issued,Observation,MAPS_TO,,<auto>,1758626709798,
1446,Levabuterol,-1,,1446,0.66,UNCHECKED,UNREVIEWED,,0,1192218,levalbuterol,Drug,MAPS_TO,,<auto>,1758626709956,
1323,Gentamycin,-1,,1323,0.82,UNCHECKED,UNREVIEWED,,0,915392,natamycin,Drug,MAPS_TO,,<auto>,1758626710079,
278,Tigo Pesa,-1,,278,0.55,UNCHECKED,UNREVIEWED,,0,40765732,PhenX - vertigo protocol 201101,Measurement,MAPS_TO,,<auto>,1758626710138,
1582,Dorzolamine & timolol,-1,,1582,0.60,UNCHECKED,UNREVIEWED,,0,981709,dorzolamide,Drug,MAPS_TO,,<auto>,1758626710250,
1570,Sodium phosphate (Fleet's),-1,,1570,0.58,UNCHECKED,UNREVIEWED,,0,939871,sodium phosphate,Drug,MAPS_TO,,<auto>,1758626710384,
1677,Someticone,-1,,1677,0.65,UNCHECKED,UNREVIEWED,,0,45882528,Sometimes,Meas Value,MAPS_TO,,<auto>,1758626710421,
279,MTN MoMo,-1,,279,0.42,UNCHECKED,UNREVIEWED,,0,3017994,Microscopic observation [Identifier] in Bone marrow by Butyrate esterase stain,Measurement,MAPS_TO,,<auto>,1758626710434,
659,Pregnancy (finding),-1,,659,1.00,APPROVED,EQUAL,jaye,1758627236905,4299535,Pregnancy,Condition,MAPS_TO,,<auto>,1758626710589,
1447,Polyethylene Glycol,-1,,1447,0.95,UNCHECKED,UNREVIEWED,,0,948515,polyethylene glycols,Drug,MAPS_TO,,<auto>,1758626710685,
508,Reference application common drug allergens,-1,,508,0.44,UNCHECKED,UNREVIEWED,,0,37173830,Assistance with application for prescription medication assistance program,Observation,MAPS_TO,,<auto>,1758626710712,
1583,Pilocarpine,-1,,1583,1.00,APPROVED,EQUAL,jaye,1758627236905,945286,pilocarpine,Drug,MAPS_TO,,<auto>,1758626710789,
1678,Primoquine,-1,,1678,0.57,UNCHECKED,UNREVIEWED,,0,41910069,Moquetá,Geography,MAPS_TO,,<auto>,1758626710809,
1324,Gentian Violet,-1,,1324,1.00,APPROVED,EQUAL,jaye,1758627236905,959362,gentian violet,Drug,MAPS_TO,,<auto>,1758626710986,
915,Patient referral (procedure),-1,,915,1.00,APPROVED,EQUAL,jaye,1758627236905,4144684,Patient referral,Observation,MAPS_TO,,<auto>,1758626711059,
1738,Congestive cardiomyopathy (disorder),-1,,1738,1.00,APPROVED,EQUAL,jaye,1758627236905,4163710,Dilated cardiomyopathy,Condition,MAPS_TO,,<auto>,1758626711093,
1163,Common cold (disorder),-1,,1163,1.00,APPROVED,EQUAL,jaye,1758627236905,260427,Common cold,Condition,MAPS_TO,,<auto>,1758626711102,
280,Orange Money,-1,,280,0.68,UNCHECKED,UNREVIEWED,,0,42048171,Money,Geography,MAPS_TO,,<auto>,1758626711162,
509,Strawberries,-1,,509,1.00,APPROVED,EQUAL,jaye,1758627236905,4008942,Strawberry,Observation,MAPS_TO,,<auto>,1758626711316,
1679,Dyphenhydramine,-1,,1679,0.74,UNCHECKED,UNREVIEWED,,0,1129625,diphenhydramine,Drug,MAPS_TO,,<auto>,1758626711389,
1448,Docusate Sodium,-1,,1448,0.80,UNCHECKED,UNREVIEWED,,0,42706627,docusate sodium 10 MG,Drug,MAPS_TO,,<auto>,1758626711396,
329,Antenatal care (regime/therapy),-1,,329,1.00,APPROVED,EQUAL,jaye,1758627236905,4173786,Antenatal care,Observation,MAPS_TO,,<auto>,1758626711399,
1325,Glimepiride,-1,,1325,1.00,APPROVED,EQUAL,jaye,1758627236905,1597756,glimepiride,Drug,MAPS_TO,,<auto>,1758626711498,
1584,Cyclopentolate,-1,,1584,1.00,APPROVED,EQUAL,jaye,1758627236905,910232,cyclopentolate,Drug,MAPS_TO,,<auto>,1758626711519,
516,Ragweed,-1,,516,1.00,APPROVED,EQUAL,jaye,1758627236905,4239367,Ambrosia,Observation,MAPS_TO,,<auto>,1758626711620,
660,Drugs not issued (finding),-1,,660,1.00,APPROVED,EQUAL,jaye,1758627236905,4080987,Drugs not issued,Observation,MAPS_TO,,<auto>,1758626711653,
1449,Senna,-1,,1449,1.00,APPROVED,EQUAL,jaye,1758627236905,4070772,Cassia acutifolia,Observation,MAPS_TO,,<auto>,1758626711754,
281,Airtel Money,-1,,281,0.56,UNCHECKED,UNREVIEWED,,0,42048171,Money,Geography,MAPS_TO,,<auto>,1758626711780,
522,NSAIDs,-1,,522,0.77,UNCHECKED,UNREVIEWED,,0,45884125,AIDS,Meas Value,MAPS_TO,,<auto>,1758626711850,
283,M-Pesa,-1,,283,0.52,UNCHECKED,UNREVIEWED,,0,41890949,Wortegem-Petegem,Geography,MAPS_TO,,<auto>,1758626712089,
1585,Propacaine,-1,,1585,0.84,UNCHECKED,UNREVIEWED,,0,929504,proparacaine,Drug,MAPS_TO,,<auto>,1758626712493,
330,No (qualifier value),-1,,330,1.00,APPROVED,EQUAL,jaye,1758627236905,4188540,No,Meas Value,MAPS_TO,,<auto>,1758626712513,
523,Heparins,-1,,523,0.89,UNCHECKED,UNREVIEWED,,0,36309654,Heparin,Meas Value,MAPS_TO,,<auto>,1758626712545,
1164.1,Stops breathing (finding),-1,,1164,1.00,APPROVED,EQUAL,jaye,1758627236905,4094144,Stops breathing,Condition,MAPS_TO,,<auto>,1758626712565,
1681,Silver Nitrate,-1,,1681,1.00,APPROVED,EQUAL,jaye,1758627236905,966913,silver nitrate,Drug,MAPS_TO,,<auto>,1758626712594,
1450,Loratadine,-1,,1450,1.00,APPROVED,EQUAL,jaye,1758627236905,1107830,loratadine,Drug,MAPS_TO,,<auto>,1758626712615,
1571,"Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)",-1,,1571,0.42,UNCHECKED,UNREVIEWED,,0,40027174,dexamethasone / neomycin Otic Solution,Drug,MAPS_TO,,<auto>,1758626712720,
1327,Glyceryl Trinitrate,-1,,1327,1.00,APPROVED,EQUAL,jaye,1758627236905,1361711,nitroglycerin,Drug,MAPS_TO,,<auto>,1758626712783,
284,Mobile money type,-1,,284,0.56,UNCHECKED,UNREVIEWED,,0,42072943,Mobile,Geography,MAPS_TO,,<auto>,1758626712955,
661,Drugs not issued (finding),-1,,661,1.00,APPROVED,EQUAL,jaye,1758627236905,4080987,Drugs not issued,Observation,MAPS_TO,,<auto>,1758626713001,
1586,Phenylephrine,-1,,1586,1.00,APPROVED,EQUAL,jaye,1758627236905,1135766,phenylephrine,Drug,MAPS_TO,,<auto>,1758626713074,
1164.2,Apnea (finding),-1,,1164,1.00,APPROVED,EQUAL,jaye,1758627236905,321689,Apnea,Condition,MAPS_TO,,<auto>,1758626713180,
1451,Diphenhydramine,-1,,1451,1.00,APPROVED,EQUAL,jaye,1758627236905,1129625,diphenhydramine,Drug,MAPS_TO,,<auto>,1758626713249,
1328,Haloperidol,-1,,1328,1.00,APPROVED,EQUAL,jaye,1758627236905,766529,haloperidol,Drug,MAPS_TO,,<auto>,1758626713345,
524,Cephalosporins,-1,,524,0.82,UNCHECKED,UNREVIEWED,,0,4274504,Acremonium,Observation,MAPS_TO,,<auto>,1758626713353,
331,Yes (qualifier value),-1,,331,1.00,APPROVED,EQUAL,jaye,1758627236905,4188539,Yes,Meas Value,MAPS_TO,,<auto>,1758626713426,
1687,Diosmine & Hesperidine,-1,,1687,0.51,UNCHECKED,UNREVIEWED,,0,40031530,diosmin / hesperidin Oral Tablet,Drug,MAPS_TO,,<auto>,1758626713602,
917,Patient visit for (contextual qualifier) (qualifier value),-1,,917,1.00,APPROVED,EQUAL,jaye,1758627236905,4011457,Patient visit for,Observation,MAPS_TO,,<auto>,1758626713718,
1452,Prednisone,-1,,1452,1.00,APPROVED,EQUAL,jaye,1758627236905,1551099,prednisone,Drug,MAPS_TO,,<auto>,1758626713780,
286,Billing status set,-1,,286,0.64,UNCHECKED,UNREVIEWED,,0,4121179,Tumor histopathological grade status values,Measurement,MAPS_TO,,<auto>,1758626713855,
1688,Gemfibrozil,-1,,1688,1.00,APPROVED,EQUAL,jaye,1758627236905,1558242,gemfibrozil,Drug,MAPS_TO,,<auto>,1758626713905,
527,Penicillins,-1,,527,0.92,UNCHECKED,UNREVIEWED,,0,37079058,Penicillin,Meas Value,MAPS_TO,,<auto>,1758626713948,
1165,Backache (finding),-1,,1165,1.00,APPROVED,EQUAL,jaye,1758627236905,134736,Backache,Condition,MAPS_TO,,<auto>,1758626713965,
529,Soy,-1,,529,0.85,UNCHECKED,UNREVIEWED,,0,41956846,Rosoy,Geography,MAPS_TO,,<auto>,1758626714064,
1329,Hydrocortisone,-1,,1329,1.00,APPROVED,EQUAL,jaye,1758627236905,975125,hydrocortisone,Drug,MAPS_TO,,<auto>,1758626714082,
662,Drugs not issued (finding),-1,,662,1.00,APPROVED,EQUAL,jaye,1758627236905,4080987,Drugs not issued,Observation,MAPS_TO,,<auto>,1758626714092,
1739,Tuberculosis of skin and subcutaneous tissue (disorder),-1,,1739,1.00,APPROVED,EQUAL,jaye,1758627236905,4153291,Tuberculosis of skin and subcutaneous tissue,Condition,MAPS_TO,,<auto>,1758626714310,
1577,Sodium hyaluronate & Oxymetazoline,-1,,1577,0.53,UNCHECKED,UNREVIEWED,,0,40237932,sodium hyaluronate 1 MG/ML,Drug,MAPS_TO,,<auto>,1758626714368,
1587,Salbutamol & Iprotopium bromide,-1,,1587,0.52,UNCHECKED,UNREVIEWED,,0,4193261,Positive reversibility test to a combination of salbutamol and ipratropium bromide,Condition,MAPS_TO,,<auto>,1758626714388,
563,Erythromycins,-1,,563,0.96,UNCHECKED,UNREVIEWED,,0,1746940,erythromycin,Drug,MAPS_TO,,<auto>,1758626714506,
1166,Bleeding (finding),-1,,1166,1.00,APPROVED,EQUAL,jaye,1758627236905,437312,Bleeding,Condition,MAPS_TO,,<auto>,1758626714590,
1588,Alcohol,-1,,1588,1.00,APPROVED,EQUAL,jaye,1758627236905,36310580,Alcohol,Meas Value,MAPS_TO,,<auto>,1758626714640,
1453,Tramadol & Acetaminophen,-1,,1453,0.55,UNCHECKED,UNREVIEWED,,0,45876821,Acetaminophen,Meas Value,MAPS_TO,,<auto>,1758626714920,
291,Charge item status set,-1,,291,0.58,UNCHECKED,UNREVIEWED,,0,4202605,Discharge status,Observation,MAPS_TO,,<auto>,1758626714928,
564,Statins,-1,,564,0.79,UNCHECKED,UNREVIEWED,,0,42536020,HMG-CoA reductase inhibitor,Observation,MAPS_TO,,<auto>,1758626715006,
332,Cutaneous leishmaniasis (disorder),-1,,332,1.00,APPROVED,EQUAL,jaye,1758627236905,4080607,Cutaneous leishmaniasis,Condition,MAPS_TO,,<auto>,1758626715060,
1592,Mineral oil,-1,,1592,1.00,APPROVED,EQUAL,jaye,1758627236905,908523,mineral oil,Drug,MAPS_TO,,<auto>,1758626715094,
1689,Glucosamine & Chondroitin,-1,,1689,0.53,UNCHECKED,UNREVIEWED,,0,40131393,chondroitin sulfates / glucosamine Oral Tablet,Drug,MAPS_TO,,<auto>,1758626715138,
663,Drugs not issued (finding),-1,,663,1.00,APPROVED,EQUAL,jaye,1758627236905,4080987,Drugs not issued,Observation,MAPS_TO,,<auto>,1758626715156,
1589,Chlorhexidine,-1,,1589,1.00,APPROVED,EQUAL,jaye,1758627236905,1790812,chlorhexidine,Drug,MAPS_TO,,<auto>,1758626715173,
1455,Cyclobenzaprine,-1,,1455,1.00,APPROVED,EQUAL,jaye,1758627236905,778711,cyclobenzaprine,Drug,MAPS_TO,,<auto>,1758626715449,
1590,Eucerin,-1,,1590,0.60,UNCHECKED,UNREVIEWED,,0,42028745,Ucero,Geography,MAPS_TO,,<auto>,1758626715563,
567,Sulfonamides,-1,,567,0.84,UNCHECKED,UNREVIEWED,,0,3017393,Sulfonamide [Mass] of Dose,Measurement,MAPS_TO,,<auto>,1758626715586,
292,Invoice total,-1,,292,0.67,UNCHECKED,UNREVIEWED,,0,4011283,Invoice clerk,Observation,MAPS_TO,,<auto>,1758626715625,
918,Ambulatory surgery center (environment),-1,,918,0.63,UNCHECKED,UNREVIEWED,,0,4004517,Ambulatory surgery,Procedure,MAPS_TO,,<auto>,1758626715645,
1167,Bleeding from vagina (finding),-1,,1167,1.00,APPROVED,EQUAL,jaye,1758627236905,4129155,Vaginal bleeding,Condition,MAPS_TO,,<auto>,1758626715650,
1692,Pentoxifylline,-1,,1692,1.00,APPROVED,EQUAL,jaye,1758627236905,1331247,pentoxifylline,Drug,MAPS_TO,,<auto>,1758626715865,
640,Status,-1,,640,1.00,APPROVED,EQUAL,jaye,1758627236905,1092304,Status,Observation,MAPS_TO,,<auto>,1758626716033,
1456,Permethrin,-1,,1456,1.00,APPROVED,EQUAL,jaye,1758627236905,922868,permethrin,Drug,MAPS_TO,,<auto>,1758626716053,
333,Monkeypox (disorder),-1,,333,1.00,APPROVED,EQUAL,jaye,1758627236905,4234275,Mpox,Condition,MAPS_TO,,<auto>,1758626716077,
1598,Benzathine penicillin,-1,,1598,0.78,UNCHECKED,UNREVIEWED,,0,3013896,Penicillin G benzathine [Mass] of Dose,Measurement,MAPS_TO,,<auto>,1758626716182,
664,Drugs not issued (finding),-1,,664,1.00,APPROVED,EQUAL,jaye,1758627236905,4080987,Drugs not issued,Observation,MAPS_TO,,<auto>,1758626716364,
644,Service,-1,,644,0.90,UNCHECKED,UNREVIEWED,,0,4075820,Services,Observation,MAPS_TO,,<auto>,1758626716427,
1693,Podophillin,-1,,1693,0.67,UNCHECKED,UNREVIEWED,,0,947651,podophyllin,Drug,MAPS_TO,,<auto>,1758626716429,
1740,Tuberculosis of meninges (disorder),-1,,1740,1.00,APPROVED,EQUAL,jaye,1758627236905,441775,Tuberculosis of meninges,Condition,MAPS_TO,,<auto>,1758626716472,
