source_concept_id,original_source_concept_id,type,Reference FSN,Mapping relationship,Reference code system,Reference code,source_concept_name,CIEL concept_id
39,39,Test,Toxoplasma gondii IgM Ab [Units/volume] in Serum,SAME-AS,LOINC,8040-8,Toxoplasma IgM,161523
40.1,40,Test,Toxoplasma gondii IgG Ab [Units/volume] in Serum --1st specimen,SAME-AS,LOINC,24242-0,Toxoplasma IgG,161522
40.2,40,Test,Toxoplasma gondii IgG Ab [Units/volume] in Serum --2nd specimen,SAME-AS,LOINC,13286-0,Toxoplasma IgG,161522
41,41,LabSet,C-reactive protein measurement (procedure),NARROWER-THAN,SNOMED-CT,55235003,C-reactive protein test,161501
42,42,Test,C reactive protein [Mass/volume] in Serum or Plasma,SAME-AS,LOINC,1988-5,C-reactive protein,161500
43,43,Test,Reagin Ab [Presence] in Specimen by VDRL,BROADER-THAN,LOINC,14904-7,VDRL,299
44,44,Test,"Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SAME-AS,LOINC,75410-1,HBsAg Rapid Diagnostic Test,165301
45,45,LabSet,PhenX - assay for hepatitis B protocol 160401,SAME-AS,LOINC,62871-9,Hepatitis B serological test,161475
46,46,Test,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,SAME-AS,LOINC,63557-3,Hepatitis B surface antigen spot test,159430
47,47,Test,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Specimen,BROADER-THAN,LOINC,20607-8,CD4/CD8,854
48,48,Test,CD4 cells/100 cells in Unspecified specimen,BROADER-THAN,LOINC,20606-0,CD4%,730
49,49,LabSet,CD4 percent count (procedure),NARROWER-THAN,SNOMED-CT,313938009,CD4 panel,657
50,50,Test,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,SAME-AS,LOINC,24467-3,CD4 count,5497
54,54,Test,Mycobacterium tuberculosis lipoarabinomannan Ag [Presence] in Urine by Rapid immunoassay,NARROWER-THAN,LOINC,95127-7,"Mycobacterium tuberculosis lipoarabinomannan antigen, urine, rapid",167459
55,55,Test,Polymerase chain reaction test for human immunodeficiency virus type 1 (procedure),NARROWER-THAN,SNOMED-CT,399256002,"HIV DNA polymerase chain reaction, dried blood spot (DBS)",167441
58,58,Test,Plasmodium sp Ag [Identifier] in Blood by Rapid immunoassay,BROADER-THAN,LOINC,70569-9,Rapid test for malaria,1643
59,59,Test,Cryptococcus sp Ag [Presence] in Serum,BROADER-THAN,LOINC,31790-9,Cryptococcus Sp Ag presence in serum test,163613
60.1,60,Misc,Plasmodium falciparum (organism),Causative agent,SNOMED-CT,30020004,Positive for both Plasmodium falciparum and Plasmodium vivax,161248
60.2,60,Misc,Plasmodium vivax (organism),Causative agent,SNOMED-CT,74746009,Positive for both Plasmodium falciparum and Plasmodium vivax,161248
61,61,Misc,Plasmodium vivax (organism),Causative agent,SNOMED-CT,74746009,Positive for Plasmodium vivax,161247
62,62,Misc,Plasmodium falciparum (organism),Causative agent,SNOMED-CT,30020004,Positive for Plasmodium falciparum,161246
63,63,Misc,Procedure not done (situation),SAME-AS,SNOMED-CT,416237000,Procedure not performed,160414
64,64,Question,Procedure related finding (finding),NARROWER-THAN,SNOMED-CT,127325009,Test not performed due to lack of availability of test materials,160352
66,66,Test,HIV 1 RNA [#/volume] (viral load) in Specimen by NAA with probe detection,BROADER-THAN,LOINC,25836-8,HIV viral load,856
67.1,67,LabSet,Hepatic function 1996 panel - Serum or Plasma,SAME-AS,LOINC,24324-6,Liver function tests,953
67.2,67,LabSet,Hepatic function 2000 panel - Serum or Plasma,SAME-AS,LOINC,24325-3,Liver function tests,953
68,68,Test,Glucose [Mass/volume] in Serum or Plasma,BROADER-THAN,LOINC,2345-7,Serum glucose,887
69,69,Test,Urea nitrogen [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,14937-7,Blood urea nitrogen,857
70,70,Test,Erythrocyte sedimentation rate,BROADER-THAN,LOINC,30341-2,Erythrocyte sedimentation rate,855
71,71,Test,MCV [Entitic volume] by Automated count,BROADER-THAN,LOINC,787-2,Mean corpuscular volume,851
72,72,Test,Albumin [Mass/volume] in Serum or Plasma,BROADER-THAN,LOINC,1751-7,Serum albumin,848
73,73,Finding,High (qualifier value),SAME-AS,SNOMED-CT,75540009,High,1408
74,74,Drug,Magnesium phosphate,SAME-AS,RxNORM,29164,Magnesium phosphate,79241
75,75,Test,Creatinine [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,14682-9,Serum creatinine (umol/L),790
76,76,Test,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,BROADER-THAN,LOINC,6768-6,Alkaline phosphatase,785
77,77,Drug,Cystine,SAME-AS,RxNORM,3036,Cystine,74167
78,78,Drug,Creatine,SAME-AS,RxNORM,2907,Creatine,74023
79,79,Diagnosis,Infection caused by Ascaris lumbricoides (disorder),SAME-AS,SNOMED-CT,50982003,Infection by Ascaris Lumbricoides,137504
80,80,Test,Platelets [#/volume] in Blood,BROADER-THAN,LOINC,26515-7,Platelets,729
81,81,Diagnosis,Infection caused by Entamoeba histolytica (disorder),SAME-AS,SNOMED-CT,388759003,Infection due to Entamoeba Histolytica,137329
82,82,Drug,Calcium sulfate,SAME-AS,RxNORM,1925,Calcium sulfate,72703
83,83,Drug,Calcium phosphate,SAME-AS,RxNORM,1919,Calcium phosphate,72695
84,84,Finding,Calcium oxalate crystal (substance),SAME-AS,SNOMED-CT,312281007,Calcium oxalate crystals,725
85,85,Finding,"Urinary crystal, amorphous phosphate (finding)",SAME-AS,SNOMED-CT,115595004,Amorphous phosphate crystals,722
86,86,Test,Serum total protein measurement (procedure),SAME-AS,SNOMED-CT,270992008,Total protein,717
87,87,Drug,Ascorbic acid,SAME-AS,RxNORM,1151,Ascorbic acid,71589
88,88,Test,"Urobilinogen measurement, urine (procedure)",SAME-AS,SNOMED-CT,67410005,Urobilinogen,1369
90,90,Drug,"Albumin, human",SAME-AS,RxNORM,214198,"Albumin, human",70445
91,91,Finding,Positive,SAME-AS,LOINC,LA6576-8,Positive,703
92,92,Finding,Strong positive,SAME-AS,LOINC,LA18996-1,Three plus,1364
93,93,Finding,Blood group O Rh(D) negative (finding),SAME-AS,SNOMED-CT,278148006,O negative,701
94,94,Finding,Blood group O Rh(D) positive (finding),SAME-AS,SNOMED-CT,278147001,O positive,699
95,95,Finding,Blood group B Rh(D) negative (finding),SAME-AS,SNOMED-CT,278153001,B negative,696
96,96,Finding,Blood group B Rh(D) positive (finding),SAME-AS,SNOMED-CT,278150003,B positive,694
97,97,Finding,Blood group A Rh(D) negative (finding),SAME-AS,SNOMED-CT,278152006,A negative,692
98,98,Finding,Blood group A Rh(D) positive (finding),SAME-AS,SNOMED-CT,278149003,A positive,690
99,99,Test,Erythrocytes [#/volume] in Specimen by Light microscopy,BROADER-THAN,LOINC,23859-2,Red blood cells,679
100,100,Test,Leukocytes [#/volume] in Blood,SAME-AS,LOINC,26464-8,White blood cells,678
101,101,Finding,Negative,SAME-AS,LOINC,LA6577-6,Negative,664
102,102,Test,Bilirubin.total [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,14631-6,Total bilirubin,655
103,103,Test,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,BROADER-THAN,LOINC,1742-6,Serum glutamic-pyruvic transaminase,654
104,104,Test,Aspartate aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma,BROADER-THAN,LOINC,48136-6,Serum glutamic-oxaloacetic transaminase,653
105,105,Finding,Present two plus out of three plus (qualifier value),SAME-AS,SNOMED-CT,441517005,Two plus,1363
106,106,Finding,Weak positive,SAME-AS,LOINC,LA19422-7,One plus,1362
107,107,Misc,Other (qualifier value),NARROWER-THAN,SNOMED-CT,74964007,Other non-coded,5622
108,108,Test,Choriogonadotropin (pregnancy test) [Presence] in Urine,BROADER-THAN,LOINC,2106-3,Urine pregnancy test,45
109,109,Test,Widal test (procedure),SAME-AS,SNOMED-CT,165828002,Widal test,306
110,110,Test,Ova and parasites identified in Stool by Light microscopy,BROADER-THAN,LOINC,10704-5,Stool exam,304
111,111,Test,Urinalysis complete panel - Urine,BROADER-THAN,LOINC,24356-8,Urinalysis order,302
112,112,Test,ABO and Rh group [Type] in Blood,SAME-AS,LOINC,882-1,Blood typing,300
113,113,Test,Hemoglobin [Mass/volume] in Blood,BROADER-THAN,LOINC,718-7,Haemoglobin,21
114,114,Test,Albumin [Presence] in Urine by Test strip,SAME-AS,LOINC,50949-7,Urine protein (dip stick),1875
115,115,Misc,Trace (qualifier value),SAME-AS,SNOMED-CT,260405006,Trace,1874
116,116,Test,Lymphocyte percent differential count (procedure),SAME-AS,SNOMED-CT,271036002,Lymphocytes (%) - microscopic exam,1338
117,117,Diagnosis,Mucus in stool (finding),SAME-AS,SNOMED-CT,271864008,Mucus in Stool,133792
118,118,Test,Neutrophil count (procedure),SAME-AS,SNOMED-CT,30630007,Neutrophils (%) - microscopic exam,1336
119,119,LabSet,Comprehensive metabolic 2000 panel - Serum or Plasma,BROADER-THAN,LOINC,24323-8,Comprehensive metabolic panel,166374
120.1,120,Test,Reticulocytes/100 erythrocytes in Blood by Automated count,BROADER-THAN,LOINC,17849-1,Reticulocytes (%),1327
120.2,120,Test,Reticulocytes/100 erythrocytes in Blood,BROADER-THAN,LOINC,4679-7,Reticulocytes (%),1327
120.3,120,Test,Reticulocytes/100 erythrocytes in Blood by Manual,BROADER-THAN,LOINC,31112-6,Reticulocytes (%),1327
121,121,Test,Hepatitis C virus Ab [Presence] in Serum,SAME-AS,LOINC,16128-1,Hepatitis C test - qualitative,1325
122,122,Test,Albumin/Creatinine [Mass Ratio] in 24 hour Urine,SAME-AS,LOINC,13705-9,Albumin/creatinine ratio (mass ratio) in 24 hour urine,164948
123,123,Misc,Specimen (specimen),NARROWER-THAN,SNOMED-CT,123038009,Poor sample quality,1304
124,124,Misc,Equivocal (qualifier value),SAME-AS,SNOMED-CT,42425007,Equivocal,1300
125,125,Test,Amylase [Enzymatic activity/volume] in Serum or Plasma,BROADER-THAN,LOINC,1798-8,Amylase,1299
126,126,Test,Cholesterol in VLDL [Moles/volume] in Serum or Plasma,NARROWER-THAN,LOINC,25371-6,Very low density lipoprotein measurement (mmol/L),1298
127,127,Misc,Present (qualifier value),SAME-AS,SNOMED-CT,52101004,Present,163748
128,128,Misc,Absent (qualifier value),SAME-AS,SNOMED-CT,2667000,Absent,163747
129,129,LabSet,Glucose tolerance test (procedure),NARROWER-THAN,SNOMED-CT,113076002,Glucose tolerance test 5 specimens (75g) panel,163708
130,130,Test,Glucose [Mass/volume] in Serum or Plasma --4 hours post 75 g glucose PO,SAME-AS,LOINC,1539-6,"Glucose, serum 4 hrs post 75g oral glucose (mg/dL)",163707
131,131,Test,Glucose [Mass/volume] in Serum or Plasma --3 hours post 75 g glucose PO,SAME-AS,LOINC,1533-9,"Glucose, serum 3 hrs post 75g oral glucose (mg/dL)",163706
132,132,Test,Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO,SAME-AS,LOINC,1518-0,"Glucose, serum 2 hrs post 75g oral glucose (mg/dL)",163705
133,133,Test,Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO,SAME-AS,LOINC,1507-3,"Glucose, serum 1 hr post 75g oral glucose (mg/dL)",163704
134,134,Test,Glucose [Mass/volume] in Serum or Plasma --30 minutes post 75 g glucose PO,SAME-AS,LOINC,1527-1,"Glucose, serum 1/2 hr post 75g oral glucose (mg/dL)",163703
135,135,Test,Urea [Mass/volume] in Blood,SAME-AS,LOINC,20977-5,Urea measurement (calculated),163699
137,137,Test,Casts [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,24124-0,Casts presence in urine sediment by light microscopy test,163696
138,138,Test,Crystals [type] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,5782-8,Crystals type in urine sediment by light microscopy test,163695
139,139,Test,Waxy casts [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,33862-4,Waxy casts presence in urine sediment by light microscopy test,163694
140,140,Test,WBC casts [Presence] in Urine sediment by Light microscopy,SAME-AS,LOINC,33825-1,WBC casts presence in urine sediment by light microscopy test,163693
141,141,Test,Epithelial casts [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,25157-9,Epithelial casts presence in urine sediment by light microscopy test,163692
142,142,Test,Fatty casts [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,25159-5,Fatty casts presence in urine sediment by light microscopy test,163691
143,143,Test,Granular casts [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,25160-3,Granular casts presence in urine sediment by light microscopy test,163690
144,144,Test,Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,5813-1,Trichomonas vaginalis presence in urine sediment by light microscopy,163689
146,146,Test,Yeast.hyphae [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,41865-7,Yeast hyphae presence in urine sediment by light microscopy test,163687
147,147,Test,Yeast [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,32356-8,Yeast presence in urine sediment by light microscopy,163686
148,148,Test,Leukocytes [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,20455-2,Leukocytes presence in urine sediment by light microscopy,163684
149,149,Test,Erythrocytes [Presence] in Urine sediment by Light microscopy,BROADER-THAN,LOINC,32776-7,Erythrocytes presence in urine sediment by light microscopy test,163683
151,151,Finding,"Urinary crystal, magnesium ammonium phosphate (finding)",SAME-AS,SNOMED-CT,102863008,Triple phosphate crystals,163644
152,152,Finding,"Urinary crystal, amorphous urate (finding)",SAME-AS,SNOMED-CT,115594000,Amorphous urate crystals in urine,163643
153,153,Finding,"Urinary crystal, ammonium urate (finding)",SAME-AS,SNOMED-CT,102851003,Ammonium urate crystals in urine,163642
154,154,Finding,Color of Stool,BROADER-THAN,LOINC,9397-1,Color of stool,163641
155,155,Finding,Appearance of Stool,BROADER-THAN,LOINC,29636-8,Appearance of stool,163640
156,156,Test,Bacteria identified in Stool by Culture,BROADER-THAN,LOINC,625-4,Stool culture (bacterial),163603
157,157,Test,Glucose tolerance test (procedure),NARROWER-THAN,SNOMED-CT,113076002,Glucose tolerance test pre-glucose administration,163594
158,158,Test,White blood cell test (procedure),NARROWER-THAN,SNOMED-CT,252305002,"Combined % of monocytes, eosinophils and basophils",163426
159,159,LabSet,General health panel (procedure),NARROWER-THAN,SNOMED-CT,28040002,Basic metabolic panel,162630
160,160,Finding,Turbid urine (finding),SAME-AS,SNOMED-CT,167238004,Urine appears turbid,162104
161,161,Finding,Cloudy urine (finding),SAME-AS,SNOMED-CT,7766007,Cloudy urine,162103
162,162,Finding,Urine looks clear (finding),SAME-AS,SNOMED-CT,167236000,Urine appears clear,162102
163,163,Finding,Finding of turbidity of fluid (finding),NARROWER-THAN,SNOMED-CT,365669006,Urine turbidity,162101
164,164,Misc,Brown color (qualifier value),SAME-AS,SNOMED-CT,371254008,Brown color,162100
165,165,Misc,Black color (qualifier value),SAME-AS,SNOMED-CT,371252007,Black color,162065
166,166,LabSet,Prostate specific antigen measurement (procedure),SAME-AS,SNOMED-CT,63476009,Prostate specific antigen test,161520
167,167,Diagnosis,Schistosoma mansoni infection (disorder),SAME-AS,SNOMED-CT,750009,Schistosoma Mansonii Infection,127133
168,168,Test,Ferritin [Mass/volume] in Serum or Plasma,SAME-AS,LOINC,2276-4,Serum ferritin,161511
169,169,Test,Thyrotropin [Moles/volume] in Serum or Plasma,SAME-AS,LOINC,14297-6,Thyroid stimulating hormone test,161505
170,170,LabSet,Renal function 2000 panel - Serum or Plasma,SAME-AS,LOINC,24362-6,Renal function panel,161488
171,171,LabSet,Microbial culture (procedure),SAME-AS,SNOMED-CT,61594008,Culture panel,161486
172,172,Test,Sterile body fluid culture (procedure),SAME-AS,SNOMED-CT,117027007,Body fluid culture and sensitivity,161485
173,173,Test,Culture and susceptibility (procedure),NARROWER-THAN,SNOMED-CT,252390002,Pus culture and sensitivity,161484
174,174,LabSet,Serum chemistry test (procedure),NARROWER-THAN,SNOMED-CT,275711006,Serum chemistry panel,161483
175,175,Test,INR in Blood by Coagulation assay,SAME-AS,LOINC,34714-6,International normalized ratio,161482
176,176,Test,Prothrombin time (procedure),SAME-AS,SNOMED-CT,396451008,Prothrombin time,161481
177,177,LabSet,Evaluation of stool specimen (procedure),NARROWER-THAN,SNOMED-CT,442514001,Stool test,161451
178,178,Test,Fat [Mass] in Stool,SAME-AS,LOINC,16853-4,"Stool fat test, semi-quantitative",161450
179,179,Test,Reducing substances [Mass/volume] in Stool,SAME-AS,LOINC,32211-5,Stool test for reducing substance,161449
180,180,Test,Microscopic observation [Identifier] in Specimen by Acid fast stain.Kinyoun,SAME-AS,LOINC,654-4,Kinyoun's stain for coccidians,161448
181,181,Test,Ova and parasites identified in Stool by Concentration,SAME-AS,LOINC,10701-1,Stool microscopy with concentration,161447
182,182,Test,Urine sediment comments by Light microscopy Narrative,SAME-AS,LOINC,11279-7,Urine routine and microscopy,161445
183,183,LabSet,Sickling test (procedure),NARROWER-THAN,SNOMED-CT,252289009,Sickling test only,161431
184,184,Test,Bacteria identified in Urine by Culture,SAME-AS,LOINC,630-4,"Culture and sensitivity, urine",161156
185,185,Test,Bacteria identified in Blood by Culture,SAME-AS,LOINC,600-7,"Culture and sensitivity, blood",161155
186,186,LabSet,PT panel - Platelet poor plasma by Coagulation assay,SAME-AS,LOINC,34528-0,Prothrombin Time (with INR),161152
187,187,Test,Isotope study for glomerular filtration rate (procedure),SAME-AS,SNOMED-CT,12341000,Glomerular filtration rate,161132
188,188,Test,Glucose [Mass/volume] in Serum or Plasma --post meal,BROADER-THAN,LOINC,16915-1,Post-prandial blood glucose measurement (mg/dL),160914
189,189,Test,Prostate specific Ag [Mass/volume] in Serum or Plasma,BROADER-THAN,LOINC,2857-1,Prostate specific antigen (PSA) measurement (ng/mL),160913
190,190,Test,Fasting glucose [Mass/volume] in Serum or Plasma,BROADER-THAN,LOINC,1558-6,Fasting blood glucose measurement (mg/dL),160912
191,191,Misc,Yellow color (qualifier value),SAME-AS,SNOMED-CT,371244009,Yellow color,160910
192,192,Misc,Green color (qualifier value),SAME-AS,SNOMED-CT,371246006,Green color,160909
193,193,Test,Urine bacteriuria test (procedure),SAME-AS,SNOMED-CT,167316004,"Bacteriuria test, urine",160735
194,194,Test,Sickle cell screen test status CPHS,BROADER-THAN,LOINC,39230-8,Sickle cell screening test,160225
195,195,Test,Urate [Mass/volume] in Serum or Plasma,SAME-AS,LOINC,3084-1,"uric acid, serum",159825
196,196,Misc,Gram-negative coccus (organism),SAME-AS,SNOMED-CT,18383003,gram-negative cocci,159664
197,197,Misc,Gram-positive coccus (organism),SAME-AS,SNOMED-CT,59206002,gram-positive cocci,159663
198,198,Test,Cerebrospinal fluid culture (procedure),NARROWER-THAN,SNOMED-CT,252399001,cerebrospinal fluid bacterial culture,159648
199,199,Test,Hemoglobin A1c measurement (procedure),SAME-AS,SNOMED-CT,43396009,Glycosylated hemoglobin A measurement,159644
200,200,Test,Calcium [Moles/volume] in Serum or Plasma,NARROWER-THAN,LOINC,2000-8,Serum calcium,166038
201,201,Test,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,SAME-AS,LOINC,63557-3,Hepatitis B Surface Antigen Test,159430
202,202,Misc,Rare (qualifier value),SAME-AS,SNOMED-CT,89292003,Rarely,159416
203,203,Test,Hemoglobin.gastrointestinal [Presence] in Stool,SAME-AS,LOINC,2335-8,Fecal occult blood test,159362
204,204,Diagnosis,Uric acid crystalluria (finding),SAME-AS,SNOMED-CT,102865001,Uric Acid Crystalluria,123505
205,205,Diagnosis,Urine microscopy: hyaline casts (finding),SAME-AS,SNOMED-CT,167338002,"Urinary Cast, Hyaline",123501
206,206,Misc,Blood group AB Rh(D) negative (finding),SAME-AS,SNOMED-CT,278154007,Ab negative,1231
207,207,Misc,Blood group AB Rh(D) positive (finding),SAME-AS,SNOMED-CT,278151004,Ab positive,1230
208,208,Misc,Non-Reactive (qualifier value),SAME-AS,SNOMED-CT,131194007,Non-reactive,1229
209,209,Misc,Reactive (qualifier value),SAME-AS,SNOMED-CT,11214006,Reactive,1228
210,210,Diagnosis,Cestode infection (disorder),SAME-AS,SNOMED-CT,86133004,Cestode Infection,120759
211,211,Misc,Few (qualifier value),SAME-AS,SNOMED-CT,57176003,Few,1160
212,212,Finding,Moderate (severity modifier) (qualifier value),SAME-AS,SNOMED-CT,6736007,Moderate,1499
213,213,Misc,Indeterminate (qualifier value),SAME-AS,SNOMED-CT,82334004,Indeterminate,1138
214,214,Test,Bicarbonate [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,1963-8,Serum carbon dioxide,1135
215,215,Test,Chloride [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,2075-0,Serum chloride,1134
216,216,Test,Potassium [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,2823-3,Serum potassium,1133
217,217,Test,Sodium [Moles/volume] in Serum or Plasma,BROADER-THAN,LOINC,2951-2,Serum sodium,1132
218,218,Diagnosis,Ancylostomiasis caused by Ancylostoma duodenale (disorder),SAME-AS,SNOMED-CT,7386008,Ancylostomiasis due to Ancylostoma Duodenale,148882
219,219,Misc,Not done (qualifier value),SAME-AS,SNOMED-CT,385660001,Not done,1118
220,220,Misc,Abnormal (qualifier value),SAME-AS,SNOMED-CT,263654008,Abnormal,1116
221,221,Misc,Normal (qualifier value),SAME-AS,SNOMED-CT,17621005,Normal,1115
222,222,Misc,None (qualifier value),SAME-AS,SNOMED-CT,260413007,,1107
223,223,Misc,Extravascular blood (substance),NARROWER-THAN,SNOMED-CT,2522002,bloody,1077
224,224,Misc,Unknown (qualifier value),SAME-AS,SNOMED-CT,261665006,Unknown,1067
225,225,Test,Neisseria gonorrhoeae DNA [Presence] in Specimen by NAA with probe detection,BROADER-THAN,LOINC,24111-7,"Neisseria gonorrhoeae polymerase chain reaction, qualitative",1038
226,226,Test,Glucose [Mass/volume] in Serum or Plasma,BROADER-THAN,LOINC,2345-7,Serum glucose (mmol),887
227,227,Test,Polymerase chain reaction test for Neisseria gonorrhoeae (procedure),SAME-AS,SNOMED-CT,399143002,Neisseria gonorrhoeae polymerase chain reaction,1036
228,228,Test,Chlamydia trachomatis DNA [Presence] in Specimen by NAA with probe detection,BROADER-THAN,LOINC,21613-5,"Chlamydia trachomatis polymerase chain reaction, qualitative",1034
229,229,Test,Chlamydia trachomatis DNA [Units/volume] in Specimen by NAA with probe detection,BROADER-THAN,LOINC,49096-1,Chlamydia trachomatis polymerase chain reaction,1033
230,230,Test,Basophils/100 leukocytes in Blood by Automated count,BROADER-THAN,LOINC,706-2,Basophils,1025
231,231,Test,Eosinophils/100 leukocytes in Blood by Automated count,BROADER-THAN,LOINC,713-8,Eosinophils,1024
232,232,Test,Monocytes/100 leukocytes in Blood by Automated count,BROADER-THAN,LOINC,5905-5,Monocytes,1023
233,233,Test,Neutrophils/100 leukocytes in Blood by Automated count,BROADER-THAN,LOINC,770-8,Neutrophils,1022
234,234,Test,Lymphocytes/100 leukocytes in Blood by Automated count,BROADER-THAN,LOINC,736-9,Lymphocytes,1021
235,235,LabSet,CBC panel - Blood by Automated count,BROADER-THAN,LOINC,58410-2,Complete blood count,1019
236,236,Test,MCH [Entitic mass],BROADER-THAN,LOINC,28539-5,Mean corpuscular hemoglobin,1018
237,237,Test,MCHC [Mass/volume],BROADER-THAN,LOINC,28540-3,Mean cell hemoglobin concentration,1017
238,238,Test,Erythrocyte distribution width [Entitic volume],BROADER-THAN,LOINC,30384-2,Red cell distribution width,1016
239,239,Test,Hematocrit [Volume Fraction] of Blood,BROADER-THAN,LOINC,20570-8,Hematocrit,1015
240,240,Test,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,BROADER-THAN,LOINC,2157-6,Creatine kinase,1011
241,241,LabSet,Lipid 1996 panel - Serum or Plasma,SAME-AS,LOINC,24331-1,Lipid panel,1010
